Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
07/03/2020,Liverpool,Bournemouth,2,1,H
07/03/2020,Arsenal,West Ham,1,0,H
07/03/2020,Crystal Palace,Watford,1,0,H
07/03/2020,Sheffield United,Norwich,1,0,H
07/03/2020,Southampton,Newcastle,0,1,A
07/03/2020,Wolves,Brighton,0,0,D
07/03/2020,Burnley,Tottenham,1,1,D
08/03/2020,Chelsea,Everton,4,0,H
08/03/2020,Man United,Man City,2,0,H
09/03/2020,Leicester,Aston Villa,4,0,H
17/06/2020,Aston Villa,Sheffield United,0,0,D
17/06/2020,Man City,Arsenal,3,0,H
19/06/2020,Norwich,Southampton,0,3,A
19/06/2020,Tottenham,Man United,1,1,D
20/06/2020,Watford,Leicester,1,1,D
20/06/2020,Brighton,Arsenal,2,1,H
20/06/2020,West Ham,Wolves,0,2,A
20/06/2020,Bournemouth,Crystal Palace,0,2,A
21/06/2020,Newcastle,Sheffield United,3,0,H
21/06/2020,Aston Villa,Chelsea,1,2,A
21/06/2020,Everton,Liverpool,0,0,D
22/06/2020,Man City,Burnley,5,0,H
23/06/2020,Leicester,Brighton,0,0,D
23/06/2020,Tottenham,West Ham,2,0,H
24/06/2020,Man United,Sheffield United,3,0,H
24/06/2020,Newcastle,Aston Villa,1,1,D
24/06/2020,Norwich,Everton,0,1,A
24/06/2020,Wolves,Bournemouth,1,0,H
24/06/2020,Liverpool,Crystal Palace,4,0,H
25/06/2020,Burnley,Watford,1,0,H
25/06/2020,Southampton,Arsenal,0,2,A
25/06/2020,Chelsea,Man City,2,1,H
27/06/2020,Aston Villa,Wolves,0,1,A
28/06/2020,Watford,Southampton,1,3,A
29/06/2020,Crystal Palace,Burnley,0,1,A
30/06/2020,Brighton,Man United,0,3,A
01/07/2020,Arsenal,Norwich,4,0,H
01/07/2020,Bournemouth,Newcastle,1,4,A
01/07/2020,Everton,Leicester,2,1,H
01/07/2020,West Ham,Chelsea,3,2,H
02/07/2020,Sheffield United,Tottenham,3,1,H
02/07/2020,Man City,Liverpool,4,0,H
04/07/2020,Norwich,Brighton,0,1,A
04/07/2020,Leicester,Crystal Palace,3,0,H
04/07/2020,Man United,Bournemouth,5,2,H
04/07/2020,Wolves,Arsenal,0,2,A
04/07/2020,Chelsea,Watford,3,0,H
05/07/2020,Burnley,Sheffield United,1,1,D
05/07/2020,Newcastle,West Ham,2,2,D
05/07/2020,Liverpool,Aston Villa,2,0,H
05/07/2020,Southampton,Man City,1,0,H
06/07/2020,Tottenham,Everton,1,0,H
07/07/2020,Crystal Palace,Chelsea,2,3,A
07/07/2020,Watford,Norwich,2,1,H
07/07/2020,Arsenal,Leicester,1,1,D
08/07/2020,Man City,Newcastle,5,0,H
08/07/2020,Sheffield United,Wolves,1,0,H
08/07/2020,West Ham,Burnley,0,1,A
08/07/2020,Brighton,Liverpool,1,3,A
09/07/2020,Bournemouth,Tottenham,0,0,D
09/07/2020,Everton,Southampton,1,1,D
09/07/2020,Aston Villa,Man United,0,3,A
11/07/2020,Norwich,West Ham,0,4,A
11/07/2020,Watford,Newcastle,2,1,H
11/07/2020,Liverpool,Burnley,1,1,D
11/07/2020,Sheffield United,Chelsea,3,0,H
11/07/2020,Brighton,Man City,0,5,A
12/07/2020,Wolves,Everton,3,0,H
12/07/2020,Aston Villa,Crystal Palace,2,0,H
12/07/2020,Tottenham,Arsenal,2,1,H
12/07/2020,Bournemouth,Leicester,4,1,H
13/07/2020,Man United,Southampton,2,2,D
14/07/2020,Chelsea,Norwich,1,0,H
15/07/2020,Burnley,Wolves,1,1,D
15/07/2020,Man City,Bournemouth,2,1,H
15/07/2020,Newcastle,Tottenham,1,3,A
15/07/2020,Arsenal,Liverpool,2,1,H
16/07/2020,Everton,Aston Villa,1,1,D
16/07/2020,Leicester,Sheffield United,2,0,H
16/07/2020,Crystal Palace,Man United,0,2,A
16/07/2020,Southampton,Brighton,1,1,D
17/07/2020,West Ham,Watford,3,1,H
18/07/2020,Norwich,Burnley,0,2,A
19/07/2020,Bournemouth,Southampton,0,2,A
19/07/2020,Tottenham,Leicester,3,0,H
20/07/2020,Brighton,Newcastle,0,0,D
20/07/2020,Sheffield United,Everton,0,1,A
20/07/2020,Wolves,Crystal Palace,2,0,H
21/07/2020,Watford,Man City,0,4,A
21/07/2020,Aston Villa,Arsenal,1,0,H
22/07/2020,Man United,West Ham,1,1,D
22/07/2020,Liverpool,Chelsea,5,3,H
26/07/2020,Arsenal,Watford,3,2,H
26/07/2020,Burnley,Brighton,1,2,A
26/07/2020,Chelsea,Wolves,2,0,H
26/07/2020,Crystal Palace,Tottenham,1,1,D
26/07/2020,Everton,Bournemouth,1,3,A
26/07/2020,Leicester,Man United,0,2,A
26/07/2020,Man City,Norwich,5,0,H
26/07/2020,Newcastle,Liverpool,1,3,A
26/07/2020,Southampton,Sheffield United,3,1,H
26/07/2020,West Ham,Aston Villa,1,1,D
